username|to|text|retweets|favorites|replies|id|permalink|author_id|date|formatted_date|mentions|hashtags|geo|urls
juanerodriguezh|ottosonnenh|El epicentro fue en el norte de Perú, 430 kms al sur de Zamora Chinchipe.|6|39|1|1132561645170040832|https://twitter.com/juanerodriguezh/status/1132561645170040832|52058527|2019-05-26 08:18:32+00:00|Sun May 26 08:18:32 +0000 2019||||
alvarezmauw|None|No nos mal informemos el epicentro fue en una reserva en el oriente de #Peru, reserva que esta hubicada a 431km de Zamora Chinchipe.|0|0|0|1132561466333302784|https://twitter.com/alvarezmauw/status/1132561466333302784|2154037681|2019-05-26 08:17:50+00:00|Sun May 26 08:17:50 +0000 2019||#Peru||
michaelmanuelcs|None|Disculpen la ignorancia!!! Pero si fue en Peru y acá se dice que fue en Zamora Chinchipe , Ocurrió en los 2 lugares como epicentro ? Gracias por sus respuestas|1|1|4|1132561437300277248|https://twitter.com/michaelmanuelcs/status/1132561437300277248|3011417781|2019-05-26 08:17:43+00:00|Sun May 26 08:17:43 +0000 2019||||
anniecanizares|carlosperezbar|El Geofísico no señala Epicentro en este caso. Lo que dice el texto es “a 431.21 kilómetros de Yantzaza, Zamora Chinchipe. Lo cual está sumamente lejos. Creo que confunde, pero si nos fijamos en el reporte del Servicio Sismológico de EEUU, señala a 80 km de Lagunas, Perú. pic.twitter.com/hfB5YB0vhe|2|8|1|1132561145859072000|https://twitter.com/anniecanizares/status/1132561145859072000|161425305|2019-05-26 08:16:33+00:00|Sun May 26 08:16:33 +0000 2019||||
erwintellez|SismoMundial|Cómo? Un momento señores: Zamora Chinchipe le pertenece a Ecuador no a Perú. El epicentro del sismo de 7.7 grados en la escala de Ritcher fue en Lagunas, Perú y se sintió en todo el Ecuador, norte y centro del Perú y sur y centro de Colombia.|1|1|0|1132560848499675136|https://twitter.com/erwintellez/status/1132560848499675136|59246504|2019-05-26 08:15:22+00:00|Sun May 26 08:15:22 +0000 2019||||
WaldoLanda|None|El epicentro fue en Perú, a 331 km de Zamora Chinchipe, Ecuador. pic.twitter.com/YndRZLOn5a|4|4|0|1132560322433290241|https://twitter.com/WaldoLanda/status/1132560322433290241|44322515|2019-05-26 08:13:17+00:00|Sun May 26 08:13:17 +0000 2019||||
carlosperezbar|DottiRatti|El mapa que da el Instituto es del Perú donde fue el epicentro, pero el texto dice Zamora-Chinchipe. @IGecuador|0|2|2|1132560298441879552|https://twitter.com/carlosperezbar/status/1132560298441879552|296686418|2019-05-26 08:13:11+00:00|Sun May 26 08:13:11 +0000 2019|@IGecuador|||
ALEX777IS|elcomerciocom|El epicentro no fue en Yantzaza. Fue en Perú a 431 km de distancia de Zamora Chinchipe.|0|0|0|1132560198500012037|https://twitter.com/ALEX777IS/status/1132560198500012037|246468143|2019-05-26 08:12:47+00:00|Sun May 26 08:12:47 +0000 2019||||
MishuOtamer1|MishuOtamer1|Error, el epicentro ha sido en Perú, leí mal (pinshi sueño :'^) dice que ha sido a 470 km de Zamora Chinchipe De 7 y algo presumen|0|1|0|1132560140937388032|https://twitter.com/MishuOtamer1/status/1132560140937388032|911309614083395585|2019-05-26 08:12:34+00:00|Sun May 26 08:12:34 +0000 2019||||
carlosperezbar|hijadeivan|El mapa que da el Instituto es del Perú donde fue el epicentro, pero el texto dice Zamora-Chinchipe. @IGecuador|0|0|1|1132560024281198592|https://twitter.com/carlosperezbar/status/1132560024281198592|296686418|2019-05-26 08:12:06+00:00|Sun May 26 08:12:06 +0000 2019|@IGecuador|||
leonelrec99|None|Con que simpleza el Geofísico afirma un epicentro en Yantzaza Zamora Chinchipe, cuando el epicentro es la selva peruana. Sean más precisos a la hora de levantar infirmación. #Temblor|0|2|1|1132559926755287040|https://twitter.com/leonelrec99/status/1132559926755287040|963211663|2019-05-26 08:11:43+00:00|Sun May 26 08:11:43 +0000 2019||#Temblor||
HaranValer|None|#SISMO fue en #Perú. El @IGecuador ubica a más de 400 km de Yantzaza, Zamora Chinchipe el epicentro, hacia la amazonía peruana. Se sintió en #Quito y duro un par de minutos.|1|7|0|1132559687419912192|https://twitter.com/HaranValer/status/1132559687419912192|937021651|2019-05-26 08:10:46+00:00|Sun May 26 08:10:46 +0000 2019|@IGecuador|#SISMO #Perú #Quito||
carlosperezbar|eluniversocom|El mapa que da el Instituto es del Perú donde fue el epicentro, pero el texto dice Zamora-Chinchipe. @IGecuador|19|37|18|1132559622311694336|https://twitter.com/carlosperezbar/status/1132559622311694336|296686418|2019-05-26 08:10:30+00:00|Sun May 26 08:10:30 +0000 2019|@IGecuador|||
Yopoltico1|tinocotania|Pero el instituto Geofisico indica que el epicentro fue en Perú, no en Ecuador. La confusión está en el dato de la ciudad ecuatoriana más cercana esta ubicada en Zamora Chinchipe pic.twitter.com/0rGyvBx1mB|0|0|0|1132558980176318464|https://twitter.com/Yopoltico1/status/1132558980176318464|1032990431242543106|2019-05-26 08:07:57+00:00|Sun May 26 08:07:57 +0000 2019||||
fernandezfrank|janethinostroza|El #epicentro fue en #perú cerca de #yurimaguas a 431 km de #ZamoraChinchipe @teleamazonasec @eluniversocomhttps://twitter.com/janethinostroza/status/1132558015649988608 …|1|1|0|1132558706330279936|https://twitter.com/fernandezfrank/status/1132558706330279936|178956769|2019-05-26 08:06:52+00:00|Sun May 26 08:06:52 +0000 2019|@teleamazonasec @eluniversocomhttps|#epicentro #perú #yurimaguas #ZamoraChinchipe||https://twitter.com/janethinostroza/status/1132558015649988608
williamludena|None|No mal informen, el epicentro es en una reserva del oriente del Perú. Esta está ubicada a 431 km de Zamora Chinchipe.|118|167|26|1132558623140401152|https://twitter.com/williamludena/status/1132558623140401152|274670735|2019-05-26 08:06:32+00:00|Sun May 26 08:06:32 +0000 2019||||
PanCordova|None|El terremoto fue en Perú. El @IGecuador coloca a Zamora Chinchipe como referencia por ser el punto más cercano en Ecuador (424 km del epicentro). pic.twitter.com/CP9Oaajacx|1|4|0|1132558551002619904|https://twitter.com/PanCordova/status/1132558551002619904|276818993|2019-05-26 08:06:15+00:00|Sun May 26 08:06:15 +0000 2019|@IGecuador|||
